rank,Youtuber,subscribers,video views,category,Title,uploads,Region,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate(%),Urban_population,Latitude,Longitude
102,YouTube,36300000,"3,010,784,935.00",News & Politics,YouTube,744,United States,US,Entertainment,2860,32,5,21103000,5300,84400,63300,1000000,300000,1970,Jan,1,88.2,328239523,14.7,270663028,37.09024,-95.712891
64,Shakira,43500000,"27,568,757,295.00",People & Blogs,Shakira,326,Colombia,CO,Howto,52,1,3,353412000,88400,1400000,1100000,17000000,500000,2005,Oct,16,55.3,50339443,9.71,40827302,4.570868,-74.297333
369,NBA,20700000,"12,624,879,732.00",Sports,NBA,47926,United States,US,Sports,304,103,4,73025000,18300,292100,219100,3500000,NA,2005,Nov,21,88.2,328239523,14.7,270663028,37.09024,-95.712891
22,Zee TV,70500000,"73,139,054,467.00",Entertainment,Zee TV,129204,India,IN,Entertainment,9,6,8,1707000000,426800,6800000,5100000,81900000,900000,2005,Dec,11,28.1,1366417754,5.36,471031528,20.593684,78.96288
520,Apple,17300000,"1,026,425,106.00",Science & Technology,Apple,180,United States,US,Tech,11274,130,9,46484000,11600,185900,139500,2200000,100000,2005,Jun,22,88.2,328239523,14.7,270663028,37.09024,-95.712891
217,Smosh,26100000,"10,435,474,336.00",Comedy,Smosh,1619,United States,US,Comedy,410,65,13,68156000,17000,272600,204500,3300000,400000,2005,Nov,19,88.2,328239523,14.7,270663028,37.09024,-95.712891
659,CNN,15200000,"14,198,154,095.00",News & Politics,CNN,160405,United States,US,News,247,148,16,187006000,46800,748000,561000,9000000,100000,2005,Oct,2,88.2,328239523,14.7,270663028,37.09024,-95.712891
428,shane,19200000,"4,329,121,104.00",People & Blogs,shane,570,United States,US,Comedy,1705,114,22,2730000,683,10900,8200,131100,NA,2005,Sep,22,88.2,328239523,14.7,270663028,37.09024,-95.712891
70,Rihanna,41900000,"22,477,745,835.00",Entertainment,Rihanna,84,Barbados,BB,Music,98,1,27,182926000,45700,731700,548800,8800000,100000,2005,Nov,6,65.4,287025,10.33,89431,13.193887,-59.543198
71,Ishtar Music,41400000,"17,608,931,161.00",Trailers,Ishtar Music,4510,India,IN,Music,155,20,28,180942000,45200,723800,542800,8700000,400000,2005,Sep,22,28.1,1366417754,5.36,471031528,20.593684,78.96288
683,PlayStation,15000000,"4,741,434,420.00",Gaming,PlayStation,20292,United States,US,Games,1469,151,48,41789000,10400,167200,125400,2000000,100000,2005,Dec,16,88.2,328239523,14.7,270663028,37.09024,-95.712891
188,Michael Jackson,28200000,"14,412,474,625.00",Music,Michael Jackson,15,United States,US,Music,242,54,59,158591000,39600,634400,475800,7600000,200000,2005,Jun,22,88.2,328239523,14.7,270663028,37.09024,-95.712891
220,Beyoncï¿,26000000,"17,308,961,985.00",Music,Beyoncï¿,240,United States,US,Music,163,66,66,55454000,13900,221800,166400,2700000,NA,2005,Nov,7,88.2,328239523,14.7,270663028,37.09024,-95.712891
582,Jennifer Lopez,16200000,"10,227,242,833.00",Music,Jennifer Lopez,258,United States,US,Music,426,140,118,63441000,15900,253800,190300,3000000,NA,2005,Nov,18,88.2,328239523,14.7,270663028,37.09024,-95.712891
672,BIGBANG,15100000,"7,857,371,770.00",Music,BIGBANG,776,South Korea,KR,Music,680,13,127,40806000,10200,163200,122400,2000000,NA,2005,Oct,10,94.3,51709098,4.15,42106719,35.907757,127.766922
540,VICE,16900000,"4,609,753,237.00",Entertainment,VICE,3900,United States,US,Entertainment,1543,134,129,36357000,9100,145400,109100,1700000,100000,2005,Dec,16,88.2,328239523,14.7,270663028,37.09024,-95.712891
588,LEGO,16200000,"20,522,339,099.00",Entertainment,LEGO,31889,Singapore,SG,Entertainment,116,1,136,117209000,29300,468800,351600,5600000,200000,2005,Oct,22,84.8,5703569,4.11,5703569,1.352083,103.819836
917,Akon,12900000,"6,300,933,122.00",Music,Akon,39,United States,US,Music,976,171,145,91240000,22800,365000,273700,4400000,100000,2005,Nov,5,88.2,328239523,14.7,270663028,37.09024,-95.712891
988,Avril Lavigne,12400000,"6,202,090,191.00",Music,Avril Lavigne,205,United States,US,Music,999,176,150,50188000,12500,200800,150600,2400000,NA,2005,Oct,8,88.2,328239523,14.7,270663028,37.09024,-95.712891
837,BBC,13600000,"9,685,060,624.00",Pets & Animals,BBC,16047,United Kingdom,GB,Entertainment,474,29,160,44414000,11100,177700,133200,2100000,100000,2005,Nov,12,60,66834405,3.85,55908316,55.378051,-3.435973
52,Bad Bunny,46100000,"30,686,342,319.00",Music,badbunny,1,NA,NA,Sports,4046070,NA,4501,1,0,0,0,0.05,NA,2005,Nov,15,NA,NA,NA,NA,NA,NA
189,Drake,28100000,"15,318,895,118.00",Music,drake,3,NA,NA,Film,4011030,NA,4909,31,0.01,0.12,0.09,1,1,2005,Sep,23,NA,NA,NA,NA,NA,NA
450,CKN,18700000,"12,295,637,162.00",Entertainment,cKn,16,Spain,ES,Music,3188353,4093,5631,102,0.03,0.41,0.31,5,1,2005,Sep,26,88.9,47076781,13.96,37927409,40.463667,-3.74922
778,Crazy Frog,14200000,"7,946,322,061.00",Music,CrazyFrog,0,NA,NA,Games,4057944,NA,7453,NA,0,0,0,0,NA,2005,Oct,2,NA,NA,NA,NA,NA,NA
58,BRIGHT SIDE,44500000,"10,708,531,817.00",Howto & Style,brightside,0,NA,NA,NA,4057944,NA,NA,NA,0,0,0,0,1,2005,Nov,18,NA,NA,NA,NA,NA,NA
1,T-Series,245000000,"228,000,000,000.00",Music,T-Series,20082,India,IN,Music,1,1,1,2258000000,564600,9000000,6800000,108400000,2000000,2006,Mar,13,28.1,1366417754,5.36,471031528,20.593684,78.96288
4,Cocomelon - Nursery Rhymes,162000000,"164,000,000,000.00",Education,Cocomelon - Nursery Rhymes,966,United States,US,Education,2,2,1,1975000000,493800,7900000,5900000,94800000,1000000,2006,Sep,1,88.2,328239523,14.7,270663028,37.09024,-95.712891
5,SET India,159000000,"148,000,000,000.00",Shows,SET India,116536,India,IN,Entertainment,3,2,2,1824000000,455900,7300000,5500000,87500000,1000000,2006,Sep,20,28.1,1366417754,5.36,471031528,20.593684,78.96288
30,Movieclips,59500000,"59,316,472,754.00",Film & Animation,Movieclips,39113,United States,US,Film,11,9,3,114668000,28700,458700,344000,5500000,100000,2006,Apr,28,88.2,328239523,14.7,270663028,37.09024,-95.712891
108,IndiaTV,35500000,"16,105,023,749.00",News & Politics,IndiaTV,273255,India,IN,News,185,27,3,290847000,72700,1200000,872500,14000000,600000,2006,Aug,26,28.1,1366417754,5.36,471031528,20.593684,78.96288
47,Get Movies,47500000,"30,788,679,536.00",Entertainment,Get Movies,3322,Russia,RU,Film,35,1,4,306540000,76600,1200000,919600,14700000,700000,2006,Dec,16,81.9,144373535,4.59,107683889,61.52401,105.318756
292,TED,23100000,"2,551,113,422.00",People & Blogs,TED,4445,United States,US,Tech,3568,85,4,13246000,3300,53000,39700,635800,100000,2006,Dec,6,88.2,328239523,14.7,270663028,37.09024,-95.712891
424,FIFA,19400000,"5,529,131,886.00",Sports,FIFA,10728,Switzerland,CH,Sports,1186,1,5,58863000,14700,235500,176600,2800000,100000,2006,Sep,6,59.6,8574832,4.58,6332428,46.818188,8.227512
138,Mr Bean,32100000,"10,602,236,110.00",Shows,Mr Bean,3091,United Kingdom,GB,Comedy,400,4,5,56534000,14100,226100,169600,2700000,100000,2006,Jan,4,60,66834405,3.85,55908316,55.378051,-3.435973
153,The Tonight Show Starring Jimmy Fallon,31200000,"17,111,726,160.00",Comedy,The Tonight Show Starring Jimmy Fallon,8976,United States,US,Comedy,166,44,6,22511000,0,0,0,0,100000,2006,Jan,8,88.2,328239523,14.7,270663028,37.09024,-95.712891
568,UFC - Ultimate Fighting Championship,16400000,"7,135,820,721.00",Sports,UFC - Ultimate Fighting Championship,14662,United States,US,Sports,806,138,7,133208000,33300,532800,399600,6400000,100000,2006,Mar,4,88.2,328239523,14.7,270663028,37.09024,-95.712891
81,Super Simple Songs - Kids Songs,39200000,"44,900,897,958.00",Education,Super Simple Songs - Kids Songs,744,Canada,CA,Education,19,2,8,560756000,140200,2200000,1700000,26900000,400000,2006,Sep,8,68.9,36991981,5.56,30628482,56.130366,-106.346771
478,Manual do Mundo,18000000,"3,980,991,248.00",Howto & Style,Manual do Mundo,2470,Brazil,BR,Tech,1922,26,8,54766000,13700,219100,164300,2600000,100000,2006,Jul,24,51.3,212559417,12.08,183241641,-14.235004,-51.92528
178,AuronPlay,29200000,"4,079,141,673.00",Comedy,AuronPlay,404,Spain,ES,Comedy,1852,3,9,12143000,3000,48600,36400,582900,NA,2006,Feb,28,88.9,47076781,13.96,37927409,40.463667,-3.74922
121,Galinha Pintadinha,33800000,"27,274,550,757.00",Film & Animation,Galinha Pintadinha,66,Brazil,BR,Film,54,8,9,403508000,100900,1600000,1200000,19400000,200000,2006,Aug,30,51.3,212559417,12.08,183241641,-14.235004,-51.92528
647,FC Barcelona,15300000,"2,656,528,205.00",Sports,FC Barcelona,10988,Spain,ES,Sports,3356,11,9,84867000,21200,339500,254600,4100000,200000,2006,Feb,6,88.9,47076781,13.96,37927409,40.463667,-3.74922
55,Felipe Neto,45200000,"16,602,198,273.00",Entertainment,Felipe Neto,4331,Brazil,BR,Entertainment,174,2,14,130359000,32600,521400,391100,6300000,200000,2006,May,16,51.3,212559417,12.08,183241641,-14.235004,-51.92528
815,Hacksmith Industries,13800000,"1,820,559,912.00",Science & Technology,Hacksmith Industries,887,Canada,CA,Tech,5524,10,14,83943000,21000,335800,251800,4000000,100000,2006,Apr,20,68.9,36991981,5.56,30628482,56.130366,-106.346771
38,YRF,54600000,"35,302,243,691.00",Film & Animation,YRF,3707,India,IN,Music,28,15,16,512093000,128000,2000000,1500000,24600000,500000,2006,Jun,7,28.1,1366417754,5.36,471031528,20.593684,78.96288
